frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,is_paused,nudge_mode
1285,2513,0,221318.145,232856,-11537.855,true,4,0,false,jump
1286,2522,0,221733.954,232856,-11122.046,true,4,0,false,jump
1287,2532,0,222153.716,234904,-12750.284,true,4,0,false,jump
1288,2541,0,222620.218,235345,-12724.782,true,4,0,false,jump
1289,2550,0,223035.865,235345,-12309.135,true,4,0,false,jump
1290,2560,0,223451.500,235345,-11893.500,true,4,0,false,jump
1291,2570,0,223916.289,235786,-11869.711,true,4,0,false,jump
1292,2579,0,237684.507,237834,-149.493,true,4,0,false,jump
1293,2588,0,238100.427,237834,266.427,true,4,0,false,jump
1294,2598,0,238540.896,238275,265.896,true,4,0,false,jump
1295,2607,0,238956.568,238275,681.568,true,4,0,false,jump
1296,2617,0,239376.322,240323,-946.678,true,4,0,false,jump
1297,2626,0,239792.100,240323,-530.900,true,4,0,false,jump
1298,2635,0,240234.163,240764,-529.837,true,4,0,false,jump
1299,2645,0,240650.939,240764,-113.061,true,4,0,false,jump
1300,2654,0,241066.675,240764,302.675,true,4,0,false,jump
1301,2664,0,241511.167,243253,-1741.833,true,4,0,false,jump
1302,2673,0,241926.810,243253,-1326.190,true,4,0,false,jump
1303,2683,0,242342.202,243253,-910.798,true,4,0,false,jump
1304,2692,0,242785.025,243694,-908.975,true,4,0,false,jump
1305,2702,0,243204.776,245742,-2537.224,true,4,0,false,jump
1306,2711,0,243620.472,245742,-2121.528,true,4,0,false,jump
1307,2720,0,244065.716,246183,-2117.284,true,4,0,false,jump
1308,2730,0,244481.347,246183,-1701.653,true,4,0,false,jump
1309,2739,0,244897.016,246183,-1285.984,true,4,0,false,jump
1310,2749,0,245344.685,248672,-3327.315,true,4,0,false,jump
1311,2758,0,245760.566,248672,-2911.434,true,4,0,false,jump
1312,2768,0,246175.752,248672,-2496.248,true,4,0,false,jump
1313,2777,0,246591.575,248672,-2080.425,true,4,0,false,jump
1314,2787,0,247040.834,251161,-4120.166,true,4,0,false,jump
1315,2796,0,247456.694,251161,-3704.306,true,4,0,false,jump
1316,2805,0,247872.355,251161,-3288.645,true,4,0,false,jump
1317,2815,0,248319.934,251602,-3282.066,true,4,0,false,jump
1318,2824,0,248736.099,251602,-2865.901,true,4,0,false,jump
1319,2834,0,249156.305,253650,-4493.695,true,4,0,false,jump
1320,2843,0,249606.294,254091,-4484.706,true,4,0,false,jump
1321,2853,0,250020.750,254091,-4070.250,true,4,0,false,jump
1322,2862,0,250436.629,254091,-3654.371,true,4,0,false,jump
1323,2872,0,250889.036,256580,-5690.964,true,4,0,false,jump
1324,2881,0,251305.507,256580,-5274.493,true,4,0,false,jump
1325,2891,0,251721.235,256580,-4858.765,true,4,0,false,jump
1326,2900,0,252171.956,257021,-4849.044,true,4,0,false,jump
1327,2909,0,252588.448,257021,-4432.552,true,4,0,false,jump
1328,2919,0,253009.187,259069,-6059.813,true,4,0,false,jump
1329,2928,0,253424.907,259069,-5644.093,true,4,0,false,jump
1330,2938,0,253877.197,259510,-5632.803,true,4,0,false,jump
1331,2947,0,254292.975,259510,-5217.025,true,4,0,false,jump
1332,2957,0,254708.671,259510,-4801.329,true,4,0,false,jump
1333,2966,0,255159.275,259951,-4791.725,true,4,0,false,jump
1334,2976,0,255575.066,259951,-4375.934,true,4,0,false,jump
1335,2985,0,255990.693,259951,-3960.307,true,4,0,false,jump
1336,2994,0,256439.616,260392,-3952.384,true,4,0,false,jump
1337,3004,0,256859.517,262440,-5580.483,true,4,0,false,jump
1338,3013,0,257275.129,262440,-5164.871,true,4,0,false,jump
1339,3023,0,257726.460,262881,-5154.540,true,4,0,false,jump
1340,3032,0,258142.287,262881,-4738.713,true,4,0,false,jump
1341,3042,0,258562.060,264929,-6366.940,true,4,0,false,jump
1342,3051,0,259015.796,265370,-6354.204,true,4,0,false,jump
1343,3061,0,259431.575,265370,-5938.425,true,4,0,false,jump
1344,3070,0,259847.298,265370,-5522.702,true,4,0,false,jump
1345,3079,0,260262.962,265370,-5107.038,true,4,0,false,jump
1346,3089,0,260718.273,267859,-7140.727,true,4,0,false,jump
1347,3099,0,261133.923,267859,-6725.077,true,4,0,false,jump
1348,3108,0,261549.603,267859,-6309.397,true,4,0,false,jump
1349,3117,0,262003.223,268300,-6296.777,true,4,0,false,jump
1350,3127,0,262422.983,270348,-7925.017,true,4,0,false,jump
1351,3136,0,262838.676,270348,-7509.324,true,4,0,false,jump
1352,3146,0,263294.697,270789,-7494.303,true,4,0,false,jump
1353,3155,0,263710.362,270789,-7078.638,true,4,0,false,jump
1354,3164,0,264126.036,270789,-6662.964,true,4,0,false,jump
1355,3174,0,264584.459,273278,-8693.541,true,4,0,false,jump
1356,3183,0,265000.171,273278,-8277.829,true,4,0,false,jump
1357,3193,0,265415.886,273278,-7862.114,true,4,0,false,jump
1358,3202,0,265831.564,273278,-7446.436,true,4,0,false,jump
1359,3212,0,266289.418,274702,-8412.582,true,4,0,false,jump
1360,3221,0,266707.368,275767,-9059.632,true,4,0,false,jump
1361,3231,0,267123.086,275767,-8643.914,true,4,0,false,jump
1362,3240,0,267581.376,276208,-8626.624,true,5,0,false,jump
1363,3249,0,267997.125,276208,-8210.875,true,5,0,false,jump
1364,3259,0,268416.947,278256,-9839.053,true,5,0,false,jump
1365,3268,0,268877.630,278697,-9819.370,true,5,0,false,jump
1366,3278,0,269293.259,278697,-9403.741,true,5,0,false,jump
1367,3287,0,269709.212,278697,-8987.788,true,5,0,false,jump
1368,3297,0,270168.192,279138,-8969.808,true,5,0,false,jump
1369,3306,0,270588.136,281186,-10597.864,true,5,0,false,jump
1370,3316,0,271004.700,281186,-10181.300,true,5,0,false,jump
1371,3325,0,271466.066,281627,-10160.934,true,5,0,false,jump
1372,3335,0,271882.532,281627,-9744.468,true,5,0,false,jump
1373,3344,0,272302.394,283675,-11372.606,true,5,0,false,jump
1374,3353,0,272718.062,283675,-10956.938,true,5,0,false,jump
1375,3363,0,273180.977,284116,-10935.023,true,5,0,false,jump
1376,3372,0,273596.654,284116,-10519.346,true,5,0,false,jump
1377,3382,0,274012.312,284116,-10103.688,true,5,0,false,jump
1378,3391,0,274477.620,286605,-12127.380,true,5,0,false,jump
