frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,nudge_events,is_paused,nudge_mode,display_speed
1406,1739,0,217899.713,229783,-11883.287,true,4,0,29,false,jump,1.000000
1407,1748,0,218364.483,230224,-11859.517,true,4,0,30,false,jump,1.000000
1408,1757,0,218780.124,230224,-11443.876,true,4,0,30,false,jump,1.000000
1409,1767,0,219199.892,232272,-13072.108,true,4,0,30,false,jump,1.000000
1410,1776,0,219615.574,232272,-12656.426,true,4,0,30,false,jump,1.000000
1411,1786,0,220081.888,232713,-12631.112,true,4,0,31,false,jump,1.000000
1412,1795,0,220498.446,232713,-12214.554,true,4,0,31,false,jump,1.000000
1413,1805,0,220914.147,232713,-11798.853,true,4,0,31,false,jump,1.000000
1414,1814,0,235200.000,235202,-2.000,true,4,0,32,false,jump,1.000000
1415,1823,0,235616.387,235202,414.387,true,4,0,32,false,jump,1.000000
1416,1833,0,236032.127,235202,830.127,true,4,0,32,false,jump,1.000000
1417,1842,0,236471.469,235643,828.469,true,4,0,33,false,jump,1.000000
1418,1852,0,236889.649,237691,-801.351,true,4,0,33,false,jump,1.000000
1419,1861,0,237305.341,237691,-385.659,true,4,0,33,false,jump,1.000000
1420,1871,0,237747.113,238132,-384.887,true,4,0,34,false,jump,1.000000
1421,1880,0,238162.922,238132,30.922,true,4,0,34,false,jump,1.000000
1422,1890,0,238578.608,238132,446.608,true,4,0,34,false,jump,1.000000
1423,1899,0,239022.812,240621,-1598.188,true,4,0,35,false,jump,1.000000
1424,1908,0,239438.467,240621,-1182.533,true,4,0,35,false,jump,1.000000
1425,1918,0,239854.128,240621,-766.872,true,4,0,35,false,jump,1.000000
1426,1927,0,240269.933,240621,-351.067,true,4,0,35,false,jump,1.000000
1427,1937,0,240715.733,243110,-2394.267,true,4,0,36,false,jump,1.000000
1428,1946,0,241132.205,243110,-1977.795,true,4,0,36,false,jump,1.000000
1429,1956,0,241548.232,243110,-1561.768,true,4,0,36,false,jump,1.000000
1430,1965,0,241992.359,243551,-1558.641,true,4,0,37,false,jump,1.000000
1431,1975,0,242408.254,243551,-1142.746,true,4,0,37,false,jump,1.000000
1432,1984,0,242828.036,245599,-2770.964,true,4,0,37,false,jump,1.000000
1433,1993,0,243274.581,246040,-2765.419,true,4,0,38,false,jump,1.000000
1434,2003,0,243690.316,246040,-2349.684,true,4,0,38,false,jump,1.000000
1435,2012,0,244106.705,246040,-1933.295,true,4,0,38,false,jump,1.000000
1436,2022,0,244555.670,248529,-3973.330,true,4,0,39,false,jump,1.000000
1437,2031,0,244971.618,248529,-3557.382,true,4,0,39,false,jump,1.000000
1438,2041,0,245387.293,248529,-3141.707,true,4,0,39,false,jump,1.000000
1439,2050,0,245834.578,248970,-3135.422,true,4,0,40,false,jump,1.000000
1440,2060,0,246250.254,248970,-2719.746,true,4,0,40,false,jump,1.000000
1441,2069,0,246670.236,251018,-4347.764,true,4,0,40,false,jump,1.000000
1442,2079,0,247086.709,251018,-3931.291,true,4,0,40,false,jump,1.000000
1443,2088,0,247535.575,251459,-3923.425,true,4,0,41,false,jump,1.000000
1444,2097,0,247952.030,251459,-3506.970,true,4,0,41,false,jump,1.000000
1445,2107,0,248367.679,251459,-3091.321,true,4,0,41,false,jump,1.000000
